,name,port_id,lat_port,lon_port,iso2,h3_5
177,HUDIKSVALL,62,61.73324,17.116653,se,599131458002485247
178,HUDIKSVALL,62,61.73324,17.116653,se,599131473034870783
179,HUDIKSVALL,62,61.73324,17.116653,se,599131205673156607
30,HUSUM,28,63.35443,19.15326,se,599136446606999551
180,HUSUM,28,63.35443,19.15326,se,599136448754483199
181,HUSUM,28,63.35443,19.15326,se,599136400436101119
182,HUSUM,28,63.35443,19.15326,se,599136450901966847
183,HUSUM,28,63.35443,19.15326,se,599136430500872191
184,HUSUM,28,63.35443,19.15326,se,599136398288617471
185,HUSUM,28,63.35443,19.15326,se,599136445533257727
31,HÄRNÖSAND,19,62.63432,17.93243,se,599131045685624831
186,HÄRNÖSAND,19,62.63432,17.93243,se,599131279761342463
187,HÄRNÖSAND,19,62.63432,17.93243,se,599131126216261631
188,HÄRNÖSAND,19,62.63432,17.93243,se,599131042464399359
189,HÄRNÖSAND,19,62.63432,17.93243,se,599131043538141183
190,HÄRNÖSAND,19,62.63432,17.93243,se,599131278687600639
191,HÄRNÖSAND,19,62.63432,17.93243,se,599131044611883007
128,HÖGANÄS,32140,56.2123,12.550249,se,599526560633978879
768,HÖGANÄS,32140,56.2123,12.550249,se,599526528421724159
769,HÖGANÄS,32140,56.2123,12.550249,se,599527328359383039
770,HÖGANÄS,32140,56.2123,12.550249,se,599526557412753407
771,HÖGANÄS,32140,56.2123,12.550249,se,599526558486495231
772,HÖGANÄS,32140,56.2123,12.550249,se,599526527347982335
773,HÖGANÄS,32140,56.2123,12.550249,se,599526559560237055
99,HÖNSÄTER,8128,58.63347,13.434,se,599131622284984319
594,HÖNSÄTER,8128,58.63347,13.434,se,599131623358726143
595,HÖNSÄTER,8128,58.63347,13.434,se,599131624432467967
596,HÖNSÄTER,8128,58.63347,13.434,se,599131869245603839
597,HÖNSÄTER,8128,58.63347,13.434,se,599131870319345663
598,HÖNSÄTER,8128,58.63347,13.434,se,599131885351731199
599,HÖNSÄTER,8128,58.63347,13.434,se,599131617990017023
32,IGGESUND,21,61.6366,17.14325,se,599131473034870783
192,IGGESUND,21,61.6366,17.14325,se,599131475182354431
193,IGGESUND,21,61.6366,17.14325,se,599131212115607551
194,IGGESUND,21,61.6366,17.14325,se,599131477329838079
195,IGGESUND,21,61.6366,17.14325,se,599131456928743423
196,IGGESUND,21,61.6366,17.14325,se,599131471961128959
197,IGGESUND,21,61.6366,17.14325,se,599131209968123903
33,INKOO,924,60.01659,23.916923,fi,599130024557150207
198,INKOO,924,60.01659,23.916923,fi,599130025630892031
199,INKOO,924,60.01659,23.916923,fi,599130026704633855
200,INKOO,924,60.01659,23.916923,fi,599130056769404927
201,INKOO,924,60.01659,23.916923,fi,599130057843146751
202,INKOO,924,60.01659,23.916923,fi,599129944026513407
203,INKOO,924,60.01659,23.916923,fi,599130020262182911
140,Imatra,4621469,61.216047,28.83413,fi,599280244259553279
840,Imatra,4621469,61.216047,28.83413,fi,599278141873061887
841,Imatra,4621469,61.216047,28.83413,fi,599280256070713343
842,Imatra,4621469,61.216047,28.83413,fi,599280241038327807
843,Imatra,4621469,61.216047,28.83413,fi,599280242112069631
844,Imatra,4621469,61.216047,28.83413,fi,599278140799320063
845,Imatra,4621469,61.216047,28.83413,fi,599280243185811455
145,Joensuu,879142,62.583,29.7512,fi,599280994805088255
870,Joensuu,879142,62.583,29.7512,fi,599280982993928191
871,Joensuu,879142,62.583,29.7512,fi,599281010911215615
872,Joensuu,879142,62.583,29.7512,fi,599280980846444543
873,Joensuu,879142,62.583,29.7512,fi,599280992657604607
874,Joensuu,879142,62.583,29.7512,fi,599280990510120959
875,Joensuu,879142,62.583,29.7512,fi,599280988362637311
139,Joutseno,2472356,61.119467,28.467,fi,599280241038327807
834,Joutseno,2472356,61.119467,28.467,fi,599280247480778751
835,Joutseno,2472356,61.119467,28.467,fi,599280244259553279
836,Joutseno,2472356,61.119467,28.467,fi,599280245333295103
