,name,port_id,lat_port,lon_port,iso2,area,h3_5,h3_5_int
43,HAAPSALU,90214,58.91666,23.501023,ee,baltic,8508984bfffffff,599130107235270655
44,HAAPSALU,90214,58.91666,23.501023,ee,baltic,85089a97fffffff,599130107235270655
45,HAAPSALU,90214,58.91666,23.501023,ee,baltic,85089a83fffffff,599130107235270655
46,HAAPSALU,90214,58.91666,23.501023,ee,baltic,85089abbfffffff,599130107235270655
47,HAAPSALU,90214,58.91666,23.501023,ee,baltic,85089ab3fffffff,599130107235270655
19,HALLSTAVIK,42199,60.0667,18.599,se,baltic,85088073fffffff,599128315160166399
114,HALLSTAVIK,42199,60.0667,18.599,se,baltic,85088063fffffff,599128315160166399
115,HALLSTAVIK,42199,60.0667,18.599,se,baltic,8508800ffffffff,599128315160166399
116,HALLSTAVIK,42199,60.0667,18.599,se,baltic,85088047fffffff,599128315160166399
117,HALLSTAVIK,42199,60.0667,18.599,se,baltic,85088077fffffff,599128315160166399
118,HALLSTAVIK,42199,60.0667,18.599,se,baltic,8508800bfffffff,599128315160166399
119,HALLSTAVIK,42199,60.0667,18.599,se,baltic,8508807bfffffff,599128315160166399
20,HALMSTAD,987124,56.66124,12.86654,se,baltic,851f2177fffffff,599526408162639871
120,HALMSTAD,987124,56.66124,12.86654,se,baltic,851f213bfffffff,599526408162639871
121,HALMSTAD,987124,56.66124,12.86654,se,baltic,851f2163fffffff,599526408162639871
122,HALMSTAD,987124,56.66124,12.86654,se,baltic,851f212bfffffff,599526408162639871
123,HALMSTAD,987124,56.66124,12.86654,se,baltic,851f2167fffffff,599526408162639871
124,HALMSTAD,987124,56.66124,12.86654,se,baltic,851f2173fffffff,599526408162639871
125,HALMSTAD,987124,56.66124,12.86654,se,baltic,851f210ffffffff,599526408162639871
21,HAMINA,879421,60.566475,27.183324,fi,baltic,85112213fffffff,599280159433949183
126,HAMINA,879421,60.566475,27.183324,fi,baltic,8511228ffffffff,599280159433949183
127,HAMINA,879421,60.566475,27.183324,fi,baltic,85112217fffffff,599280159433949183
128,HAMINA,879421,60.566475,27.183324,fi,baltic,851122c7fffffff,599280159433949183
129,HAMINA,879421,60.566475,27.183324,fi,baltic,8511221bfffffff,599280159433949183
130,HAMINA,879421,60.566475,27.183324,fi,baltic,85112203fffffff,599280159433949183
131,HAMINA,879421,60.566475,27.183324,fi,baltic,8511228bfffffff,599280159433949183
22,HANKO/HANGÖ,89742,59.81432,22.967483,fi,baltic,850898a3fffffff,599129977312509951
132,HANKO/HANGÖ,89742,59.81432,22.967483,fi,baltic,850898bbfffffff,599129977312509951
133,HANKO/HANGÖ,89742,59.81432,22.967483,fi,baltic,850898abfffffff,599129977312509951
